,书名,作者,出版社,售价,豆瓣评分,评论数量
18,少年凯歌,陈凯歌 , 人民文学出版社 , 10.00元,9.2,(5724人评价)
25,且听风吟,[日] 村上春树  林少华 , 上海译文出版社 , 11.80元,7.8,(58976人评价)
76,潮骚,（日）三岛由纪夫  唐月梅 , 上海译文出版社 , 15.00元,8.2,(10976人评价)
13,何以笙箫默,顾漫 , 朝华出版社 , 15.00元,7.8,(139636人评价)
31,一个人的好天气,[日] 青山七惠  竺家荣 , 上海译文出版社 , 15.00元,7.6,(84060人评价)
21,动物凶猛,王朔 , 中国电影出版社 , 15.50元,8.3,(29478人评价)
85,像少年啦飞驰,韩寒 , 作家出版社 , 16.00元,7.3,(40419人评价)
81,八月未央,安妮宝贝 , 作家出版社 , 16.00元,7.5,(51638人评价)
48,三重门,韩寒  NONE、NONE , 作家出版社 , 16.00元,7.4,(109085人评价)
43,过门,priest ,***, 16.90元,8.4,(4557人评价)
33,七月与安生,安妮宝贝 原著、鬼鬼 改编绘画 , 杭州出版社 , 17.50元,7.5,(14976人评价)
44,麦田里的守望者,[美] J.D.塞林格  施咸荣 , 译林出版社 , 18.00元,7.8,(9158人评价)
6,情书,[日] 岩井俊二  穆晓芳 , 天津人民出版社 , 18.00元,8.6,(89576人评价)
84,陪安东尼度过漫长岁月,安东尼 , 长江文艺出版社 , 18.00元,8.3,(64622人评价)
57,夏有乔木雅望天堂,籽月 , 春风文艺出版社 , 18.00元,6.6,(8042人评价)
2,挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 18.80元,8.0,(322683人评价)
20,那小子真帅,[韩] 可爱淘  黄黉 , 世界知识出版社 , 18.80元,6.5,(22763人评价)
66,一座城池,韩寒 , 二十一世纪出版社 , 19.90元,7.4,(59618人评价)
40,三重门,韩寒 , 二十一世纪出版社 , 19.90元,7.6,(13994人评价)
54,泡沫之夏,明晓溪 , 新世界出版社 , 20.00元,6.8,(47750人评价)
