,书名,作者,出版社,售价,豆瓣评分,评论数量,cmt_num
2,挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 18.80元,8.0,(322683人评价),322683
1,梦里花落知多少,郭敬明 , 春风文艺出版社 , 20.00元,7.1,(166270人评价),166270
13,何以笙箫默,顾漫 , 朝华出版社 , 15.00元,7.8,(139636人评价),139636
10,从你的全世界路过,张嘉佳 , 湖南文艺出版社 , 36.00元,7.0,(109384人评价),109384
48,三重门,韩寒  NONE、NONE , 作家出版社 , 16.00元,7.4,(109085人评价),109085
5,挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 23.00元,8.5,(108127人评价),108127
35,幻城,郭敬明 , 春风文艺出版社 , 28.00元,7.0,(102606人评价),102606
24,悲伤逆流成河,郭敬明 , 长江文艺出版社 , 24.00元,6.2,(101896人评价),101896
12,微微一笑很倾城,顾漫 , 江苏文艺出版社 , 25.00元,7.9,(96796人评价),96796
23,海边的卡夫卡,[日] 村上春树  林少华 , 上海译文出版社 , 25.00元,8.1,(92332人评价),92332
38,致我们终将逝去的青春,辛夷坞 , 朝华出版社 , 25.00元,7.8,(90581人评价),90581
6,情书,[日] 岩井俊二  穆晓芳 , 天津人民出版社 , 18.00元,8.6,(89576人评价),89576
31,一个人的好天气,[日] 青山七惠  竺家荣 , 上海译文出版社 , 15.00元,7.6,(84060人评价),84060
59,长安乱,韩寒 , 中国青年出版社 , 20.00元,7.4,(82503人评价),82503
3,麦田里的守望者,[美国] J. D. 塞林格  孙仲旭 , 译林出版社 , 28.00元,8.1,(65185人评价),65185
84,陪安东尼度过漫长岁月,安东尼 , 长江文艺出版社 , 18.00元,8.3,(64622人评价),64622
41,这些都是你给我的爱,文：安东尼、图：echo , 长江文艺出版社 , 24.80元,8.3,(60735人评价),60735
66,一座城池,韩寒 , 二十一世纪出版社 , 19.90元,7.4,(59618人评价),59618
7,最好的我们,八月长安 , 湖南文艺出版社 , 55元,8.7,(59187人评价),59187
25,且听风吟,[日] 村上春树  林少华 , 上海译文出版社 , 11.80元,7.8,(58976人评价),58976
